stream,h,method,n,rel_bias,median_rel_bias,mape,rmse,mean_realized,cov50,cov90,origin_set
Y2,3,nowcast,30,0.008504590560363642,0.0030833912059974474,0.0374717368540874,5.314932573594337,115.43333333333334,0.8,1.0,evaluation 2021-01..2023-06
Y2,6,naive,30,-0.11091520025242638,-0.11009316770186335,0.11091520025242638,13.370365240585864,116.43333333333334,,,evaluation 2021-01..2023-06
Y2,6,onestep,30,0.03897833050450573,0.03480524860140581,0.043371580772229475,6.773684205145955,116.43333333333334,,,evaluation 2021-01..2023-06
Y2,6,nowcast,30,0.014579801114590004,0.017080220550668122,0.031870363942065855,4.545663589767878,116.43333333333334,0.8333333333333334,1.0,evaluation 2021-01..2023-06
Y2,12,naive,30,-0.05882183842644395,-0.06392827356130108,0.05882183842644395,7.106335201775948,113.8,,,evaluation 2021-01..2023-06
Y2,12,onestep,30,0.01777594905678892,0.02191519790080755,0.025667545327623616,3.5434274452481427,113.8,,,evaluation 2021-01..2023-06
Y2,12,nowcast,30,0.0072976860872381345,0.005642484552951258,0.020440800325046367,2.842136654249916,113.8,0.7,1.0,evaluation 2021-01..2023-06
Y2,24,naive,30,-0.01590445083382817,-0.013628146293978585,0.01590445083382817,2.54296414970142,132.6,,,evaluation 2021-01..2023-06
Y2,24,onestep,30,0.005237211480755494,0.008542998413002972,0.010726346829651278,1.6599148240120452,132.6,,,evaluation 2021-01..2023-06
Y2,24,nowcast,30,0.003770269901128775,0.005517565704465427,0.010082842839033363,1.5887855119673902,132.6,0.7666666666666667,0.9666666666666667,evaluation 2021-01..2023-06
Y3,1,naive,29,-0.549384236453202,-0.6,0.549384236453202,2.918431321671001,4.206896551724138,,,evaluation 2021-01..2023-06
Y3,1,onestep,29,0.08876329424292205,-0.021276595744680903,0.6283713010597133,2.25855131858,4.206896551724138,,,evaluation 2021-01..2023-06
Y3,1,nowcast,29,0.03117601720200717,-0.09221361368202477,0.6037172551421259,2.1264887308740215,4.206896551724138,0.6206896551724138,0.7931034482758621,evaluation 2021-01..2023-06
Y3,3,naive,28,-0.37623299319727893,-0.41666666666666663,0.37623299319727893,2.0354009783964297,3.7857142857142856,,,evaluation 2021-01..2023-06
Y3,3,onestep,28,0.1551495164118055,0.06735201917757694,0.5063328467031739,2.088056718550208,3.7857142857142856,,,evaluation 2021-01..2023-06
Y3,3,nowcast,28,0.08864795178292313,-0.0027629177310332653,0.47950651149026574,1.9480980505903207,3.7857142857142856,0.6428571428571429,0.9285714285714286,evaluation 2021-01..2023-06
Y3,6,naive,28,-0.22940759637188207,-0.18253968253968253,0.22940759637188207,1.6146649364939023,4.071428571428571,,,evaluation 2021-01..2023-06
Y3,6,onestep,28,0.18704854723840006,0.2865079365079365,0.37567324664606766,1.6002621632856049,4.071428571428571,,,evaluation 2021-01..2023-06
Y3,6,nowcast,28,0.09849115281572006,0.1765831108977588,0.33079564692812086,1.4069672253715877,4.071428571428571,0.8571428571428571,0.9642857142857143,evaluation 2021-01..2023-06
Y3,12,naive,28,-0.16805555555555557,0.0,0.16805555555555557,1.2535663410560174,3.857142857142857,,,evaluation 2021-01..2023-06
Y3,12,onestep,28,0.05394712044486029,0.24552969225460358,0.2720775305756635,1.2123859980339418,3.857142857142857,,,evaluation 2021-01..2023-06
Y3,12,nowcast,28,0.04035865489748601,0.23396478096943563,0.2630044865461148,1.1866328169600737,3.857142857142857,0.7142857142857143,0.8928571428571429,evaluation 2021-01..2023-06
Y3,24,naive,28,-0.019543650793650797,0.0,0.019543650793650797,0.4629100498862757,4.178571428571429,,,evaluation 2021-01..2023-06
